id;mood;comment;date;anonymous;user_id
1;VERY_HAPPY;Home Loan Account Table Computer;2019-10-13;false;2
2;VERY_HAPPY;Tasty Metal Bacon;2019-10-13;false;1
3;HAPPY;methodology Albania;2019-10-13;false;1
4;VERY_HAPPY;Coordinator;2019-10-13;false;1
5;HAPPY;Refined Rubber Chicken Table;2019-10-13;false;2
6;VERY_HAPPY;Public-key;2019-10-13;false;2
7;VERY_HAPPY;Games Regional Digitized;2019-10-13;true;1
8;ANGRY;Industrial;2019-10-13;true;1
9;SAD;Awesome;2019-10-13;true;1
10;HAPPY;Louisiana Specialist Home Loan Account;2019-10-13;false;1
